Alex Abrines,	Okc,	56	 ,	41	 ,	157
Quincy Acy,	Pho,	4	 ,	2	 ,	18
Jaylen Adams,	Atl,	38	 ,	25	 ,	110
Steven Adams,	Okc,	481	 ,	0	 ,	809
Bam Adebayo,	Mia,	280	 ,	3	 ,	486
Deng Adel,	Cle,	11	 ,	6	 ,	36
DeVaughn Akoon-Purcell,	Den,	3	 ,	0	 ,	10
LaMarcus Aldridge,	San,	684	 ,	10	 ,	1319
Rawle Alkins,	Chi,	13	 ,	3	 ,	39
Grayson Allen,	Uta,	67	 ,	32	 ,	178
Jarrett Allen,	Bro,	335	 ,	6	 ,	568
Kadeem Allen,	Nyk,	65	 ,	17	 ,	140
Al-Farouq Aminu,	Por,	257	 ,	96	 ,	593
Justin Anderson,	Atl,	64	 ,	24	 ,	157
Kyle Anderson,	Mem,	150	 ,	9	 ,	276
Ryan Anderson,	Pho,	19	 ,	7	 ,	60
Ryan Anderson,	Mia,	2	 ,	2	 ,	9
Ike Anigbogu,	Ind,	0	 ,	0	 ,	3
Giannis Antetokounmpo,	Mil,	721	 ,	52	 ,	1248
Kostas Antetokounmpo,	Dal,	0	 ,	0	 ,	3
Carmelo Anthony,	Hou,	49	 ,	21	 ,	121
OG Anunoby,	Tor,	183	 ,	67	 ,	404
Ryan Arcidiacono,	Chi,	187	 ,	81	 ,	419
Trevor Ariza,	Pho,	86	 ,	50	 ,	227
Trevor Ariza,	Was,	208	 ,	95	 ,	509
D.J. Augustin,	Orl,	318	 ,	131	 ,	677
Deandre Ayton,	Pho,	509	 ,	0	 ,	870
Dwayne Bacon,	Cha,	122	 ,	38	 ,	257
Marvin Bagley III,	Sac,	356	 ,	30	 ,	706
Ron Baker,	Nyk,	4	 ,	1	 ,	16
Ron Baker,	Was,	0	 ,	0	 ,	4
Wade Baldwin IV,	Por,	10	 ,	2	 ,	33
Lonzo Ball,	Lal,	185	 ,	75	 ,	456
Mo Bamba,	Orl,	117	 ,	21	 ,	243
J.J. Barea,	Dal,	161	 ,	38	 ,	385
Harrison Barnes,	Dal,	290	 ,	121	 ,	717
Harrison Barnes,	Sac,	141	 ,	53	 ,	309
Will Barton,	Den,	185	 ,	67	 ,	460
Keita Bates-Diop,	Min,	60	 ,	13	 ,	142
Nicolas Batum,	Cha,	253	 ,	116	 ,	563
Jerryd Bayless,	Min,	82	 ,	29	 ,	230
Aron Baynes,	Bos,	105	 ,	21	 ,	223
Kent Bazemore,	Atl,	278	 ,	96	 ,	691
